"Час визита","Визиты","Просмотры","Посетители","Отказы"
"2023-07-29 07:00:00","6827","45505","6745","0.21869049362824083"
"2023-05-04 00:00:00","6823","25554","6614","0.3219991206214276"
"2023-03-02 04:00:00","6822","20858","6676","0.31603635297566696"
"2023-03-15 05:00:00","6820","24919","6729","0.30381231671554254"
"2023-07-05 05:00:00","6819","26683","6727","0.3120692183604634"
"2023-07-25 07:00:00","6819","42294","6730","0.2069218360463411"
"2023-06-05 01:00:00","6814","21038","6629","0.36968007044320517"
"2023-05-28 06:00:00","6811","40950","6648","0.26222287476141537"
"2023-05-24 06:00:00","6807","36572","6713","0.22432789775231382"
"2023-05-27 06:00:00","6801","40043","6679","0.25555065431554186"
"2023-05-16 00:00:00","6791","24787","6590","0.3213076130172287"
"2023-04-22 05:00:00","6788","31040","6624","0.2818208603417796"
"2023-06-19 01:00:00","6784","20456","6577","0.37470518867924535"
"2023-04-18 05:00:00","6772","26437","6624","0.2765800354400473"
"2023-05-22 00:00:00","6772","23763","6610","0.33638511518015357"
"2023-04-24 05:00:00","6766","25859","6629","0.29441324268400826"
"2023-07-26 07:00:00","6763","44596","6674","0.19000443590122726"
"2023-03-12 05:00:00","6744","31730","6595","0.259638196915777"
"2023-04-26 00:00:00","6743","24566","6548","0.337386919768649"
"2023-05-20 06:00:00","6743","36687","6642","0.24736764051609075"
"2023-04-15 05:00:00","6742","28728","6552","0.26698309107089885"
"2023-03-20 01:00:00","6732","22323","6481","0.3193701723113488"
"2023-04-27 00:00:00","6701","24588","6519","0.3260707357110879"
"2023-04-01 02:00:00","6694","20773","6571","0.33955781296683596"
"2023-07-01 05:00:00","6691","28758","6559","0.3214766103721417"
"2023-05-04 05:00:00","6677","25917","6504","0.2722779691478209"
"2023-05-13 00:00:00","6677","25999","6461","0.29399430882132693"
"2023-06-23 05:00:00","6666","25250","6541","0.3223822382238224"
"2023-07-29 00:00:00","6665","27799","6529","0.2903225806451613"
"2023-04-11 05:00:00","6662","26661","6541","0.26163314320024017"
"2023-03-09 05:00:00","6661","25507","6496","0.28809488064855127"
